MatchId,Patch,QueueType,RankFk,GameDuration
EUW1_7001372135,14.13.598.9749,CLASSIC,0,1289
EUW1_7001409855,14.13.598.9749,CLASSIC,0,1167
EUW1_7001417405,14.13.598.9749,CLASSIC,0,1699
EUW1_7001486708,14.13.598.9749,CLASSIC,0,1508
EUW1_7001685262,14.13.598.9749,CHERRY,0,1511
EUW1_7001712282,14.13.598.9749,CHERRY,0,1235
EUW1_7001787452,14.13.598.9749,CLASSIC,4,2226
EUW1_7001823318,14.13.598.9749,CLASSIC,4,2101
EUW1_7001851121,14.13.598.9749,CLASSIC,0,1848
EUW1_7001874596,14.13.598.9749,CLASSIC,0,1844
EUW1_7001913822,14.13.598.9749,CLASSIC,0,1313
EUW1_7001933351,14.13.598.9749,CLASSIC,0,1491
EUW1_7001942573,14.13.598.9749,CLASSIC,0,1275
EUW1_7001953394,14.13.598.9749,CLASSIC,0,616
EUW1_7001976576,14.13.598.9749,CLASSIC,0,1553
EUW1_7002059087,14.13.598.9749,CLASSIC,0,737
EUW1_7002066322,14.13.598.9749,CLASSIC,0,842
EUW1_7002084272,14.13.598.9749,CLASSIC,0,704
EUW1_7002206134,14.13.598.9749,CLASSIC,0,1667
EUW1_7002241426,14.13.598.9749,CLASSIC,0,1808
EUW1_7002278920,14.13.598.9749,CLASSIC,0,611
EUW1_7002289976,14.13.598.9749,CLASSIC,0,1732
EUW1_7002337539,14.13.598.9749,ARAM,0,1176
EUW1_7002360646,14.13.598.9749,ARAM,0,1420
EUW1_7002391942,14.13.598.9749,ARAM,0,1342
EUW1_7002681460,14.13.598.9749,CLASSIC,0,946
EUW1_7002727609,14.13.598.9749,CLASSIC,0,1842
EUW1_7002879947,14.13.598.9749,CLASSIC,0,117
EUW1_7002888352,14.13.598.9749,CLASSIC,0,107
EUW1_7002895387,14.13.598.9749,CLASSIC,0,1571
EUW1_7002934057,14.13.598.9749,CLASSIC,0,1130
EUW1_7003159188,14.13.598.9749,CLASSIC,0,1136
EUW1_7003196766,14.13.598.9749,CLASSIC,0,2099
EUW1_7003228064,14.13.598.9749,CLASSIC,0,1801
EUW1_7003263961,14.13.598.9749,CHERRY,0,1419
EUW1_7003727991,14.13.598.9749,CLASSIC,0,2153
EUW1_7004233944,14.13.598.9749,CLASSIC,0,1783
EUW1_7004713202,14.13.598.9749,CLASSIC,0,1665
EUW1_7004748833,14.13.598.9749,CLASSIC,0,2047
EUW1_7005124858,14.13.598.9749,CLASSIC,0,2389
EUW1_7005223951,14.13.598.9749,CLASSIC,0,1714
EUW1_7005261787,14.13.598.9749,CLASSIC,0,1528
EUW1_7005285210,14.13.598.9749,CLASSIC,0,1823
EUW1_7005337288,14.13.598.9749,CLASSIC,0,1106
EUW1_7005356568,14.13.598.9749,CLASSIC,0,1513
EUW1_7005365284,14.13.598.9749,CLASSIC,0,1378
EUW1_7005377135,14.13.598.9749,CLASSIC,0,1219
EUW1_7005381347,14.13.598.9749,CLASSIC,0,1671
